name,jan_code,price,url,category
"ユアサプライムス
					
					ユアサ　リモコン水風扇　ホワイト　ＹＡＣ－６５０ＥＲ",4979966571762,"9,980",https://www.komeri.com/shop/g/g2137031/,クリアランスセール
"ユアサプライムス
					
					ユアサ　リモコン水風扇　ホワイト　ＹＡＣ－６５０ＥＲ",4979966571762,"9,980",https://www.komeri.com/shop/g/g2137031/,クリアランスセール
"コメリ
					
					Ｊｅｎｉｘ（ジェニックス）　ＵＳＢ充電式　パーソナルミスト冷風扇　ホワイト　ＫＷＴ－Ｆ２６",4920501213258,"1,980",https://www.komeri.com/shop/g/g2020414/,クリアランスセール
"コメリ
					
					Ｊｅｎｉｘ（ジェニックス）　ＵＳＢ充電式　パーソナルミスト冷風扇　ホワイト　ＫＷＴ－Ｆ２６",4920501213258,"1,980",https://www.komeri.com/shop/g/g2020414/,クリアランスセール
"ナカトミ
					
					ナカトミ　移動式エアコン　冷房用　パネル・ダクト・リモコン付　限定収納カバー付　ＭＡＣ－２０",4511340710369,"39,800",https://www.komeri.com/shop/g/g2081810/,クリアランスセール
N/A,N/A,N/A,https://www.komeri.com/shop/pg/1005024164,クリアランスセール
"ナカトミ
					
					ナカトミ　移動式エアコン　冷房用　パネル・ダクト・リモコン付　限定収納カバー付　ＭＡＣ－２０",4511340710369,"39,800",https://www.komeri.com/shop/g/g2081810/,クリアランスセール
"コロナ
					
					コロナ　ウィンドエアコン　リララ　冷房専用　５畳用　シェルホワイト　ＣＷ－１６２４Ｒ（ＷＳ）",4906128495130,"44,800",https://www.komeri.com/shop/g/g2173793/,クリアランスセール
"コロナ
					
					コロナ　ウィンドエアコン　リララ　冷房専用　５畳用　シェルホワイト　ＣＷ－１６２４Ｒ（ＷＳ）",4906128495130,"44,800",https://www.komeri.com/shop/g/g2173793/,クリアランスセール
"RETZ
					
					ＲＥＴＺＬＩＮＫ　トルネードサーキュレーター３５ｃｍ　ＲＬ－ＡＮＡＲ３５０ＴＦ",4920501512979,"9,980",https://www.komeri.com/shop/g/g1966341/,クリアランスセール
N/A,N/A,N/A,https://www.komeri.com/shop/pg/1005024164,クリアランスセール
"RETZ
					
					ＲＥＴＺＬＩＮＫ　トルネードサーキュレーター３５ｃｍ　ＲＬ－ＡＮＡＲ３５０ＴＦ",4920501512979,"9,980",https://www.komeri.com/shop/g/g1966341/,クリアランスセール
排熱ダクト付　スポットクーラー　ＧＷＹ－２２／２５,0400128724381,"49,800",https://www.komeri.com/shop/g/g2125871/,クリアランスセール
N/A,N/A,N/A,https://www.komeri.com/shop/pg/1005024164,クリアランスセール
排熱ダクト付　スポットクーラー　ＧＷＹ－２２／２５,0400128724381,"49,800",https://www.komeri.com/shop/g/g2125871/,クリアランスセール
排熱ダクト付　スポットクーラー　ＧＷＹ－２２／２５（Ａ）,6972601291788,"49,800",https://www.komeri.com/shop/g/g2344386/,クリアランスセール
排熱ダクト付　スポットクーラー　ＧＷＹ－２２／２５（Ａ）,6972601291788,"49,800",https://www.komeri.com/shop/g/g2344386/,クリアランスセール
"ＣＵＣ
					
					中国産業　Ａｈｉｉｓｓｕ　水冷ベスト　アイスウォーターベストＰＲＯ（脇下冷却仕様）　ＩＣＷ００１",4534514025694,"15,800",https://www.komeri.com/shop/g/g2125984/,クリアランスセール
